Tags	IBooks	EBooks	IMarkers	EMarkers	IRefs	ERefs	PreText	SCase	Search	PostText	RCase	Replace	Name	Comment
									˱about˲			about_		
									˱after˲			after_		
									˱against˲			against_		
									˱around˲			around_		
									˱as˲			as_		
									˱at˲			at_		
									˱before˲			before_		
									˱by˲			by_		
									˱for˲			for_		
									˱For˲			For_		
									˱from˲			from_		
									˱From˲			From_		
									˱in˲			in_		
									˱of˲			of_		
									˱on˲			on_		
									˱On˲			On_		
									˱over˲			over_		
									˱to˲			to_		
									˱To˲			To_		
									˱unto˲			unto_		Do we really want this?
									˱with˲			with_		

									˱I˲			I_		
									˱he˲			he_		
									˱He˲			He_		
									˱she˲			she_		
									˱She˲			She_		
									˱it˲			it_		
									˱It˲			It_		
									˱you˲			you_		
									˱You˲			You_		
									˱we˲			we_		
									˱We˲			We_		
									˱you_all˲			you_all_		
									˱You_all˲			You_all_		
									˱You_All˲			You_all_		
									˱they˲			they_		
									˱They˲			They_		

									˱him˲			him_		
									˱her˲			her_		

									˱there˲			there_		
